game_id,season,week,gameday,team,off_epa,def_epa,plays,form_off_epa,form_def_epa,form_plays
2024_10_ATL_NO,2024,10,2024-11-10,NO,0.003852461072695219,0.07373846124251972,51,-0.1876524032770238,0.09647555754112536,65.0
2024_11_CLE_NO,2024,11,2024-11-17,NO,0.3113062858423551,0.03021658492135726,56,-0.16694119318783293,0.0817646217860208,65.0
2024_13_LA_NO,2024,13,2024-12-01,NO,-0.05673674651888109,0.12678270610510636,69,-0.022498110842900144,0.04373593969495082,63.0
2024_14_NO_NYG,2024,14,2024-12-08,NO,-0.08197251833949344,-0.13311092229646188,65,0.037474142056290065,0.04415738364906594,63.8
2024_15_WAS_NO,2024,15,2024-12-15,NO,-0.08749075938621849,0.07163261401595818,51,0.06094068650255815,0.017954513662237815,63.2
2024_16_NO_GB,2024,16,2024-12-23,NO,-0.3494658540365427,0.2639358431554921,53,0.017791744534091433,0.03385188879769594,58.4
2024_17_LV_NO,2024,17,2024-12-29,NO,-0.2802494880366669,0.10238876612595055,53,-0.052871918487756145,0.07189136518029042,58.8
2024_18_NO_TB,2024,18,2025-01-05,NO,0.0020943582978157744,0.22456962449190762,63,-0.17118307326356055,0.08632580142120908,58.2
2025_01_ARI_NO,2025,1,2025-09-07,NO,-0.04165398697715263,0.043989166043527976,67,-0.15941685230022118,0.10588318509856934,57.0
2025_02_SF_NO,2025,2,2025-09-14,NO,-0.07787490714871895,0.047801000334729976,67,-0.15135314602775302,0.14130320276656733,57.4
2025_03_NO_SEA,2025,3,2025-09-21,NO,-0.11915033467639927,0.1411826581750243,70,-0.1494299755802531,0.13653688003032166,60.6
2025_04_NO_BUF,2025,4,2025-09-28,NO,-0.09360413658291644,0.19637072308012193,66,-0.10336687170822441,0.11198624303422808,64.0
2025_05_NYG_NO,2025,5,2025-10-05,NO,0.048407695519188554,-0.2907236500295635,61,-0.06603780141747433,0.13078263442506238,66.6
2025_06_NE_NO,2025,6,2025-10-12,NO,-0.04114743442538712,0.1576491451476753,51,-0.056775133973199776,0.02772397952076814,66.2
2025_07_NO_CHI,2025,7,2025-10-19,NO,-0.29681739717672306,0.09379912528868677,53,-0.05667382346284666,0.050455975341597604,63.0
2025_08_TB_NO,2025,8,2025-10-26,NO,-0.4726712227326961,-0.14794995938809855,70,-0.1004623214684475,0.05965560033238897,60.2
2025_09_NO_LA,2025,9,2025-11-02,NO,-0.32076716913770026,0.26580770541852994,39,-0.17116649907970688,0.001829076819764397,60.2
2025_10_NO_CAR,2025,10,2025-11-09,NO,0.16176368779471467,-0.41942340922414667,64,-0.21659910559066362,0.015716473287446,54.8
2025_12_ATL_NO,2025,12,2025-11-23,NO,-0.27482358596316864,-0.11221282572562642,78,-0.1939279071355584,-0.010023478551470632,55.4
2025_13_NO_MIA,2025,13,2025-11-30,NO,-0.16475911940846216,-0.13490428110554617,71,-0.24066313744311468,-0.06399587272613097,60.8
2025_14_NO_TB,2025,14,2025-12-07,NO,0.018192071700584022,-0.1783482840616037,53,-0.21425148188946253,-0.10973655400497757,64.4
2025_15_CAR_NO,2025,15,2025-12-14,NO,0.10643883001799215,0.11013014508381673,61,-0.11607882300280647,-0.1158162189396786,61.0
2025_16_NYJ_NO,2025,16,2025-12-21,NO,-0.005796187007592138,-0.3565103556337593,77,-0.030637623171668016,-0.14695173100662123,65.4
